1 story|1 piso
1 to 3 months|1 a 3 meses
1. What are you seeing?|1. ¿Qué estás viendo?
1. What happened?|1. ¿Qué pasó?
10 to 30 years|10 a 30 años
10+ years|Más de 10 años
123 Main St, Charlotte, NC 28202|123 Main St, Charlotte, NC 28202
123 Riverside Dr, Mount Holly, NC 28120|123 Riverside Dr, Mount Holly, NC 28120
1st floor|1.er piso
2 story|2 pisos
2,150 sq ft|2,150 pies²
2. Where is it showing up?|2. ¿Dónde aparece?
2. Where is it?|2. ¿Dónde está?
2nd floor|2.º piso
3 to 12 months|3 a 12 meses
3. How urgent is it?|3. ¿Qué tan urgente es?
3. Is there immediate danger?|3. ¿Hay peligro inmediato?
3+ story|3+ pisos
30+ years|Más de 30 años
4. Any utility risk?|4. ¿Algún riesgo con servicios?
5&ndash;10 years|5–10 años
A few details help us evaluate windows, sealing, and insulation more accurately.|Algunos detalles nos ayudan a evaluar ventanas, sellado y aislamiento con mayor precisión.
A few more details help us assign the right inspector and timing.|Algunos detalles más nos ayudan a asignar el inspector y el horario correctos.
A few quick answers help us send the right crew faster.|Unas respuestas rápidas nos ayudan a enviar el equipo adecuado más rápido.
A provider reviews your request|Un proveedor revisa tu solicitud
A provider will review this request immediately and contact you if more information is needed.|Un proveedor revisará esta solicitud de inmediato y te contactará si necesita más información.
A quick check helps us send the right pro faster.|Una revisión rápida nos ayuda a enviar al profesional adecuado más rápido.
A quick summary helps the provider arrive prepared.|Un resumen breve ayuda al proveedor a llegar preparado.
Active dripping|Goteo activo
Active leak|Fuga activa
Active leaks or storm damage may need extra photos after this step.|Las fugas activas o daños por tormenta pueden requerir fotos adicionales después de este paso.
Add a few details|Agrega algunos detalles
Add any details that might help (e.g., when it started, any error codes).|Agrega cualquier detalle útil (p. ej., cuándo empezó, códigos de error).
Add anything that helps us respond faster.|Agrega cualquier cosa que nos ayude a responder más rápido.
Add more details so we can prepare the provider and recommend the right next step.|Agrega más detalles para preparar al proveedor y recomendar el siguiente paso adecuado.
Add note|Agregar nota
Add photo first|Agrega una foto primero
Add photo or short video|Agrega foto o video corto
Add photos and a quick note|Agrega fotos y una nota breve
Add photos and access details|Agrega fotos y detalles de acceso
Add photos and contact details|Agrega fotos y datos de contacto
Add photos and contact info|Agrega fotos e información de contacto
Add photos or short video|Agrega fotos o video corto
Add photos or video|Agrega fotos o video
Add short video|Agrega video corto
Add video|Agregar video
Address|Dirección
Adults|Adultos
After damage|Después del daño
After remodel|Después de remodelación
After storm|Después de tormenta
After water leak|Después de fuga de agua
After-hours visit needed +|Visita fuera de horario necesaria +
Afternoon|Tarde
Air filter|Filtro de aire
Air handler|Manejadora de aire
Alarm sounding|Alarma sonando
Already done|Ya hecho
Amount of water|Cantidad de agua
Annual maintenance|Mantenimiento anual
Annual review|Revisión anual
Any of the following apply? (Optional)|¿Aplica alguno de los siguientes? (Opcional)
Any previous repairs?|¿Reparaciones previas?
Anything else the provider should know?|¿Algo más que el proveedor deba saber?
Apartment|Apartamento
Appliance leak|Fuga de electrodoméstico
Appointment summary|Resumen de la cita
Are you under contract?|¿Estás bajo contrato?
Area|Área
Area:|Área:
Around chimney|Alrededor de la chimenea
Around vent|Alrededor de la ventilación
Around window|Alrededor de la ventana
Around windows|Alrededor de las ventanas
Asphalt shingles|Tejas asfálticas
Attic|Ático
Attic / ceiling|Ático / techo
Attic insulation|Aislamiento del ático
Attic moisture|Humedad en el ático
Attic or crawl space access|Acceso al ático o espacio bajo el piso
Avg. arrival|Llegada prom.
Back|Atrás
Bad smell|Mal olor
Basement|Sótano
Bathroom|Baño
Bathroom issue|Problema en el baño
Bathroom moisture|Humedad en el baño
Beam concern|Preocupación por viga
Bedroom|Dormitorio
Before closing|Antes del cierre
Before offer|Antes de la oferta
Before purchase|Antes de la compra
Best callback number|Mejor número para devolver la llamada
Best contact number|Mejor número de contacto
Best number to reach you|Mejor número para contactarte
Best visit time|Mejor horario de visita
Blocked driveway|Entrada bloqueada
Bouncy floor|Piso rebotón
Breaker keeps tripping|El interruptor sigue saltando
Breaker shut off|Interruptor apagado
Breaker tripped +|Interruptor saltado +
Breaker trips when AC starts. Smell near panel.|El interruptor salta al encender el AC. Olor cerca del panel.
browse|explorar
BRRRR|BRRRR
Burner won't stay on|El quemador no se mantiene encendido
Burning smell|Olor a quemado
Burning smell / smoke|Olor a quemado / humo
Burst pipe|Tubería rota
Buy and hold|Comprar y mantener
Buy with confidence|Comprar con confianza
Buyer|Comprador
Buzzing|Zumbido
call 911|llama al 911
Call first|Llamar primero
Call now|Llamar ahora
Call support|Llamar a soporte
Can we call you right away?|¿Podemos llamarte de inmediato?
Can you safely place a bucket or move items away from the leak?|¿Puedes colocar un balde o alejar objetos de la fuga de forma segura?
Can you safely turn off power near the water?|¿Puedes apagar la electricidad cerca del agua de forma segura?
Can you safely turn off the breaker?|¿Puedes apagar el interruptor de forma segura?
Can you shut off the water right now?|¿Puedes cerrar el agua ahora mismo?
Can you shut off the water?|¿Puedes cerrar el agua?
Can you stay away from the damaged area?|¿Puedes mantenerte alejado del área dañada?
Can you stay inside safely?|¿Puedes permanecer adentro de forma segura?
Can you stay safely away from the affected area?|¿Puedes mantenerte alejado del área afectada de forma segura?
Can you stop the water safely?|¿Puedes detener el agua de forma segura?
Ceiling|Techo
Ceiling crack|Grieta en el techo
Ceiling stain|Mancha en el techo
Central AC|AC central
Check the basics before we send it.|Revisa lo básico antes de enviarlo.
Child safety concern|Preocupación por seguridad infantil
Children|Niños
Chimney crack|Grieta en chimenea
Chirping alarm|Alarma chirriando
Choose from your photo library|Elige de tu galería de fotos
Choose the issue so we can dispatch the right technician faster.|Elige el problema para enviar al técnico adecuado más rápido.
Clog / backup|Atasco / respaldo
Clogged drain|Desagüe obstruido
CO detector alert|Alerta de detector de CO
CO detector concern|Preocupación por detector de CO
Cold room|Habitación fría
Comfort issue|Problema de confort
Comments|Comentarios
Comments for the provider|Comentarios para el proveedor
Common area|Área común
Concern|Preocupación
Condensation|Condensación
Condo|Condominio
Confirm &amp; Continue|Confirmar y continuar
Confirm &amp; Schedule|Confirmar y agendar
Contact|Contacto
Continue|Continuar
Cosmetic|Cosmético
Cracks widening|Grietas que se ensanchan
Crawl space|Espacio bajo el piso
Crawl space humidity|Humedad en espacio bajo el piso
Crawl space insulation|Aislamiento en espacio bajo el piso
Crawl space issue|Problema en espacio bajo el piso
Crawl space moisture|Humedad en espacio bajo el piso
Damaged insulation|Aislamiento dañado
Date|Fecha
Debris cleanup|Limpieza de escombros
Describe the issue|Describe el problema
Describe the problem|Describe el problema
Details|Detalles
Do you know the age of the system?|¿Conoces la antigüedad del sistema?
Don't know|No lo sé
Door / lock safety|Seguridad de puerta / cerradura
Door / window sticking|Puerta / ventana atascada
Door sticking|Puerta atascada
Doors|Puertas
Doors &amp; exits|Puertas y salidas
Double-pane|Doble panel
Draft / air coming in|Corriente / aire entrando
Drag files here or|Arrastra archivos aquí o
Drag files here or browse|Arrastra archivos aquí o explora
Drain line|Línea de drenaje
Drain line / clog|Línea de drenaje / atasco
Driveway|Entrada vehicular
Duct / vents|Conductos / rejillas
Ductwork|Ductos
Duplex|Dúplex
Edit|Editar
Edit details|Editar detalles
Edit request|Editar solicitud
Elderly safety|Seguridad de adultos mayores
Electric|Eléctrico
Emergency|Emergencia
Emergency services|Servicios de emergencia
Error code|Código de error
Estimated arrival|Llegada estimada
Estimated callback|Devolución de llamada estimada
Estimated closing date|Fecha estimada de cierre
Estimated rehab level|Nivel estimado de rehabilitación
ETA|Hora estimada
